Account Number,Assessment Year,Suite,House Number,Street Name,Legal Description,Latitude,Longitude,Point Location,Neighbourhood,Actual Year Built,Garage,Zoning,Lot Size,Assessed Value,Assessment Class 1,Assessment Class % 1,Assessment Class 2,Assessment Class % 2,Assessment Class 3,Assessment Class % 3
1001163,2012,,18407.0,17 AVENUE NW,Plan: 660TR  Lot: A,53.44679,-113.64026,POINT (-113.64026 53.44679),RURAL WEST,1992.0,Y,RR,10042.424,1259500.0,RESIDENTIAL,100.0,,,,
1001163,2013,,18407.0,17 AVENUE NW,Plan: 660TR  Lot: A,53.44679,-113.64026,POINT (-113.64026 53.44679),RURAL WEST,1992.0,Y,RR,10042.424,1141500.0,RESIDENTIAL,100.0,,,,
1001163,2014,,18407.0,17 AVENUE NW,Plan: 660TR  Lot: A,53.44679,-113.64026,POINT (-113.64026 53.44679),RURAL WEST,1992.0,Y,RR,10042.424,1280000.0,RESIDENTIAL,100.0,,,,
1001163,2015,,18407.0,17 AVENUE NW,Plan: 660TR  Lot: A,53.44679,-113.64026,POINT (-113.64026 53.44679),RIVERVIEW AREA,1992.0,Y,RR,10042.424,1297500.0,RESIDENTIAL,100.0,,,,
1001163,2016,,18407.0,17 AVENUE NW,Plan: 660TR  Lot: A,53.44679,-113.64026,POINT (-113.64026 53.44679),RIVERVIEW AREA,1992.0,Y,RR,10042.424,1317500.0,RESIDENTIAL,100.0,,,,
1001163,2017,,18407.0,17 AVENUE NW,Plan: 660TR  Lot: A,53.44679,-113.64026,POINT (-113.64026 53.44679),RIVER'S EDGE,1992.0,Y,RR,10042.424,1429500.0,RESIDENTIAL,100.0,,,,
1001163,2018,,18407.0,17 AVENUE NW,Plan: 660TR  Lot: A,53.44679,-113.64026,POINT (-113.64026 53.44679),RIVER'S EDGE,1992.0,Y,RR,10042.424,1533500.0,RESIDENTIAL,100.0,,,,
1001163,2019,,18407.0,17 AVENUE NW,Plan: 660TR  Lot: A,53.44679,-113.64026,POINT (-113.64026 53.44679),RIVER'S EDGE,1992.0,Y,RR,10042.424,1376500.0,RESIDENTIAL,100.0,,,,
1001163,2020,,18407.0,17 AVENUE NW,Plan: 660TR  Lot: A,53.44679,-113.64026,POINT (-113.64026 53.44679),RIVER'S EDGE,1992.0,Y,RR,10042.424,1219500.0,RESIDENTIAL,100.0,,,,
1001163,2021,,18407.0,17 AVENUE NW,Plan: 660TR  Lot: A,53.44679,-113.64026,POINT (-113.64026 53.44679),RIVER'S EDGE,1992.0,Y,RR,10042.424,1122000.0,RESIDENTIAL,100.0,,,,
1001163,2022,,18407.0,17 AVENUE NW,Plan: 660TR  Lot: A,53.44679,-113.64026,POINT (-113.64026 53.44679),RIVER'S EDGE,1992.0,Y,RR,10042.424,1255500.0,RESIDENTIAL,100.0,,,,
1001163,2023,,18407.0,17 AVENUE NW,Plan: 660TR  Lot: A,53.44679,-113.64026,POINT (-113.64026 53.44679),RIVER'S EDGE,1992.0,Y,RR,10042.424,1197000.0,RESIDENTIAL,100.0,,,,
1001197,2012,,18415.0,17 AVENUE NW,Plan: 660TR  Lot: B,53.44681,-113.64098,POINT (-113.64098 53.44681),RURAL WEST,1987.0,Y,RR,10056.116,1405000.0,RESIDENTIAL,100.0,,,,
1001197,2013,,18415.0,17 AVENUE NW,Plan: 660TR  Lot: B,53.44681,-113.64098,POINT (-113.64098 53.44681),RURAL WEST,1987.0,Y,RR,10056.116,1249500.0,RESIDENTIAL,100.0,,,,
1001197,2014,,18415.0,17 AVENUE NW,Plan: 660TR  Lot: B,53.44681,-113.64098,POINT (-113.64098 53.44681),RURAL WEST,1987.0,Y,RR,10056.116,1344500.0,RESIDENTIAL,100.0,,,,
1001197,2015,,18415.0,17 AVENUE NW,Plan: 660TR  Lot: B,53.44681,-113.64098,POINT (-113.64098 53.44681),RIVERVIEW AREA,1987.0,Y,RR,10056.116,1461000.0,RESIDENTIAL,100.0,,,,
